# COMMAND: Rscript --vanilla /metfark/config/splus/synop /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d.table /lustre/storeA/project/nwp/fark/2018/04/26/syno_002d/
#
# TYPE:synop
#
# ATTRIBUTES:25
# _n:4
# title_string1:Mean Sea Level Pressure
# title_string2:Temperature 2m
# title_string3:Relative Humidity 2m
# title_string4:Wind Speed 10m
# min1:-999999
# max1:+999999
# min2:-999999
# max2:+999999
# min3:-999999
# max3:+999999
# min4:-999999
# max4:+999999
# axis_string1:MSLP (hPa)
# axis_string2:T2m (K)
# axis_string3:Rh2m (%)
# axis_string4:FF10m (m/s)
# file_string1:mslp
# file_string2:t2m
# file_string3:rh2m
# file_string4:ff10m
# Orientation:landscape
# Format:Jpeg
# Suffix:.jpg
# Version:1.0
#
# LEGENDS:2
# 1:ECMWF
# 2:MEPS 2.5km
#
# COLUMNS:15
# set:id
# cycle_epoch:round(time_ana,0.01)
# time_epoch:round(time_trg,0.01)
# obs_id:obs_sta
# lat_deg:round(lat,0.001)
# lon_deg:round(lon,0.001)
# altitude_meter:round(geopot/9.81,0.1)
# model_variable1:round(pres/100.0,0.01)
# model_variable2:round(t2m,0.01)
# model_variable3:round(rh*100,0.01)
# model_variable4:round(sqrt((wind_x*wind_x) + (wind_y*wind_y)),0.01)
# obs_variable1:round(obs_pres/100.0,0.01)
# obs_variable2:round(obs_t2m,0.01)
# obs_variable3:round(obs_rh,0.01)
# obs_variable4:round(obs_wspd,0.01)
#
# Data table
 set cycle_epoch time_epoch obs_id lat_deg lon_deg altitude_meter model_variable1 model_variable2 model_variable3 model_variable4 obs_variable1 obs_variable2 obs_variable3 obs_variable4
 1 1524528000 1524528000 1020 61.054 25.038 125 1005.59 275.61 26885.27 4.71 NA 275.75 270.65 NA
 1 1524528000 1524528000 1020 60.696 26.811 33 1007.65 275.5 27026.37 3.9 NA 275.25 270.35 NA
 1 1524528000 1524528000 1020 62.183 22.8 161 1002.43 275.25 27176.12 5.14 NA 276.05 271.45 NA
 1 1524528000 1524528000 1020 61.846 24.287 153 1004.72 274.8 26809.58 4.85 NA 275.65 268.75 NA
 1 1524528000 1524528000 1020 61.86 24.815 144 1005.46 274.74 26749.36 4.69 NA 275.45 269.25 NA
 1 1524528000 1524528000 1020 61.879 26.095 146 1007.14 273.37 26681.33 4.05 NA 273.15 269.35 NA
 1 1524528000 1524528000 1020 62.235 30.347 90 1011.29 270.92 26783.82 3.39 NA 268.55 267.15 NA
 1 1524528000 1524528000 1020 62.922 26.425 120 1007.2 272.71 26946.2 3.97 NA 275.25 268.85 NA
 1 1524528000 1524528000 1020 64.143 25.423 112 1005.11 274.28 27134.68 4.06 NA 275.55 270.95 NA
 1 1524528000 1524528000 1020 63.667 28.829 115 1009.26 271.37 26943.82 2.82 NA 270.05 269.25 NA
 1 1524528000 1524528000 1020 64.664 28.057 341 1007.82 273.29 27054.67 3.51 NA 274.55 269.35 2.2
 1 1524528000 1524528000 1020 66.37 29.312 165 1007.08 272.28 27147.11 3.32 NA 271.65 270.15 NA
 1 1524528000 1524528000 1020 66.32 29.4 298 1007.16 272.32 27153.69 3.44 NA 271.85 269.55 2.9
 1 1524528000 1524528000 1020 66.53 24.65 93 1003.44 274.89 27325.3 3.18 NA 274.85 273.15 NA
 1 1524528000 1524528000 1020 67.652 24.902 181 1001.95 275.55 27399.96 4.91 NA 275.15 274.35 2.7
